venue_id,name,google_place_id,google_price_level,mapped_tier
v0502,Pace Gallery,ChIJNY00lbdZwokR83atenEnYFw,,
v0483,Mxdin,ChIJuclyZgBZwokRMdPYUE9DW1M,,
v0486,Nami Nori West Village,ChIJcfbyqFNZwokRUoBP92II4c0,,
v0303,Chelsea Art Gallery District,ChIJQyaxd0pZwokRSDcZcMo4hbw,,
v0345,El Rey Mezcal Bar,ChIJA12lvtpbwokRx1g73PPypIM,,
v0489,NEO COFFEE BAR PATH,ChIJcxNW_8A1K4gRfcFPPm8UXxc,,
v0361,Flute Bar,ChIJHTeso-EFdkgRCnWacXe_BAo,,
v0379,Hale Coffee Company,ChIJe54Pel7L1IkRFRcxrg8jWY8,,
v1251,Eyval,ChIJR9OEk_BdwokR9Qxlpi3I1ro,,
v0492,niconeco zakkaya,ChIJpdaS-7pZwokRwu9BkLCdK_U,,
v0503,Patisserie Vanessa,ChIJb2q4QqNZwokROAYHW3Y-PPk,,
v0513,Pigeon Espresso Bar,ChIJ--JCXQDL1IkRE2l1BRaaH54,,
v0592,The Brick Room (一期一会),ChIJI-HScCTL1IkRz6C8LwOT7wc,,
v0601,The Little Scarlet Door,ChIJF6Udn24FdkgRU6FtCxbuFiY,,
v0604,The New York Earth Room,ChIJNVpiZY5ZwokRvQ-vFAg3tok,,
v0616,Three Dots Coffee Lab,ChIJ9wCaK9c1K4gRN5Oy4YcFG6A,,
v0618,Times Square,ChIJmQJIxlVYwokRLgeuocVOGVU,,
v1165,KIJITORA,ChIJ02sY7ydZwokRQNtTpmBywcc,,
v1103,MISIPASTA,ChIJ6yQJPWJZwokRRNJS9LYAdwc,,
v1107,Rite Of Passage,ChIJPfYLx19ZwokRQNG2gsSS04M,,
v1139,Bar Rêve,ChIJ2YpvPEdbwokRZFF2gfqDNT0,,
v1167,L Train Vintage,ChIJxaTLLQVcwokRHST0YGZThqs,,
v1082,Cafe MSMN,ChIJt5dIF-lZwokRZzogeAzB3EU,,
v1218,ByClio Bakery,ChIJw52j4W9ZwokRUxsssuZyD_c,,
v1340,The Little Bookshop,ChIJgctCgGhbwokRYR1ln2hAnbs,,
v1085,PPL,ChIJEa4-I9BbwokRhCUh5oXkWY0,,
v1088,Mr. Melo,ChIJLfNNGJNZwokR5H_5qlF22zk,,
v0004,Georgie’s Cafe & Bar,ChIJG8Mc_oFZwokRYk2OAgdC2Ho,,
v0009,Studio 151,ChIJ5UXURXdZwokR8bPSfFgCHjg,,
v0016,Bub's Bakery,ChIJK0OtSABZwokR-Bhujeconj8,,
v0020,Outer Heaven,ChIJYbxKJmlZwokRyaASxd_iOyw,,
v0021,Silence Please,ChIJKedLcvFZwokRxKBOubB34lU,,
v0022,Soda Club,ChIJzVWJIgVZwokRZzgRswAxIJY,,
v0025,The Ripple Room,ChIJqz6xTwBZwokRNvAKvJE8RV4,,
v0029,Conwell Coffee & Cocktail Hall,ChIJgTMBOPtbwokR1Y0sSidhvqI,,
v0032,kalei nyc,ChIJ94M6rC9ZwokRQ3mA_a5U2KU,,
v0033,Obvio Cocktail Bar Nomad,ChIJ9bckgAhZwokRukvfBql9KXk,,
v0036,St Jardim,ChIJQT7u80BZwokR5MLuGvTsBiY,,
v0037,The Little Shop,ChIJpZd5uFtbwokROm9FtRhLhyQ,,
v0038,Bar Pisellino,ChIJHUufNvVZwokRaO5ke5RQ46c,,
v0040,Bungee Space,ChIJB9XoY3RZwokRycT87D2zX0g,,
v0049,PARK at KIMS,ChIJk6s3kmNZwokRDaC2yy4A790,,
v0064,Funny Bar,ChIJ-WCFBVlZwokRC6us4Mh0YHk,,
v0065,Hungry Llama,ChIJFXK3-LdZwokR41IAIP81AvM,,
v0069,Le Dive,ChIJo4XQ00RbwokRomqfPVik1s4,,
v0070,Mandrake Café,ChIJ5z8misBZwokRfDSfGVaw3js,,
v0073,Paquita,ChIJ1YjjIR5ZwokR64A4lzzR84g,,
v0074,Parcelle Chinatown,ChIJI3VG1kxYwokRECoJD1lSvSY,,
v0078,Skin Contact,ChIJu2qqwwJZwokR_VbX5-UgL9s,,
v0080,Tera,ChIJp1D1GABbwokRGv6SieCkj1U,,
v0088,Bar Bianchi,ChIJv_AHlm1ZwokRcPCZsaL2qlQ,,
v0089,Bar Crispin,ChIJE6-tG_gFdkgRkfw9f0Ruknc,,
v0090,Binx,ChIJnVTBZQBZwokR_e07ztqL870,,
v0095,Do Not Feed Alligators,ChIJx3Lned1ZwokRHpVK3qlZZMA,,
v0097,El Camino,ChIJta8wQABZwokRJIHwv_5Wv3c,,
v0098,La Cabra,ChIJT994RulZwokRdgqQX0zc3QY,,
v0100,LOS TACOS No.1,ChIJsdNONuFbwokRLM-yuifjb8k,,
v0202,Pimbeche Vintage,ChIJ1XxC5ItZwokRITvkxhLVuRA,,
v0204,Project Seoul,ChIJ14swXAA1K4gR57BtRMSAjYY,,
v0104,Papa d’Amour,ChIJ9XHBcQBZwokRkNC7Va5Sa9E,,
v0106,"RHYTHM ZERO, WEST VILLAGE",ChIJHZO-cABZwokRP3Gty-exVkU,,
v0111,Seven Dials Market,ChIJD4dBYbgFdkgRv99UblXvkYw,,
v0115,Sullaluna,ChIJ_5hz2klZwokRHWSfBldfUdQ,,
v0123,Alabaster Bookshop,ChIJpTRUPJlZwokRtFv10EUtj-k,,
v0125,Ariston Coffee Bar,ChIJK0FlVPNZwokR2waVBj-VHko,,
v0130,BabySips,ChIJBUoUBBtZwokRoH9ZV7FA9RA,,
v0134,Bar Room at the Beekman,ChIJw0ol8QFbwokR6-65pS8JSDk,,
v0143,Buddy's,ChIJp1830WNZwokR9fZCL5rf9mw,,
v0146,Café Habibti,ChIJSyXaSrJZwokRORr9W165phU,,
v0147,canteenM,ChIJo02rP4ZZwokRRbYZMk9lyd8,,
v0153,Coming Soon,ChIJUWNTySlawokRFApT4_EDvv8,,
v0157,Derby Cup Coffee,ChIJMXRqFABbwokROtpA2HMbqL8,,
v0160,Early Terrible New York City,ChIJU4WGzV1ZwokR9mZOMy7xz7E,,
v0162,Edna + Vita,ChIJ0YO8-mA1K4gRpluiDNMl14s,,
v0163,Electric Lemon,ChIJIXPGRZtZwokRlob1QzvXcO4,,
v0165,Elvis,ChIJ7YfBUgBZwokRd88LamATlVg,,
v0167,ESSX NYC,ChIJH9V1IMNZwokRb4USgw5yDZo,,
v0173,Grasso,ChIJRcG-rBEbdkgR9SUVxepVY0I,,
v0175,Happy Medium,ChIJ8x4nPnRbwokRozC-WjZ0VMI,,
v0177,Jac's on Bond,ChIJRVNhqddZwokRtdYJh-uBlCY,,
v0179,JIMMY,ChIJ45clTQBZwokRXt97y11W1bw,,
v0180,KIJITORA E14th,ChIJiyUu4NpZwokRrlpJTSvIiRY,,
v0184,Locanda Verde Hudson Yards,ChIJV09-awBZwokROld1G3kx0e4,,
v0185,LOS TACOS No.1,ChIJUybmBDpZwokR1WuwgSaYkr8,,
v0187,MADE RITE COFFEE,ChIJ6WFHd3w1K4gRerr6HGTIzO4,,
v0188,Mast Books,ChIJBXpzwIJZwokRhOAu4SUGDds,,
v0189,Moonflower,ChIJ9TpnlMtZwokRJJQ_AJbVcnY,,
v0194,Old Mates Pub,ChIJ18arQwBbwokRzYO8n-65f_s,,
v0197,"P&T Knitwear Bookstore, Coffee, & Podcast Studio",ChIJublUE8dZwokRc87bQmHj5Cw,,
v0301,Chad Senzel,ChIJ4WJF2iBZwokR7K8aNX4BukI,,
v0205,PUBLIC Hotel,ChIJYY-OM4RZwokRvA7ECx3HRZw,,
v0209,Rita's,ChIJoddM1nEFdkgRsNOAoG3mIhA,,
v0216,SOMA Soho,ChIJk-Pwqj8FdkgRsRgIlFZ8FNU,,
v0222,Teabowl,ChIJxVJZfgBZwokRPJhGH4SnywU,,
v0225,The Hideout Chai Bar,ChIJv_6WmoZZwokRbuo1pyegDRE,,
v0227,TIME AGAIN,ChIJFbvsXD1bwokRxOjjQXFijcQ,,
v0233,192 Books,ChIJp2ZWXbhZwokRLu509djcZu4,,
v0235,787 Coffee,ChIJRWo8v4RZwokRbggnxWmoWpA,,
v0241,Adore,ChIJoYyj68NZwokRT8xVxxpdccg,,
v0244,Albertine,ChIJe8TwIpRYwokRbZVYCpL0UWo,,
v0254,Aquelarre Shop,ChIJnzHWrtS5woARbg75HL247Lg,,
v0256,Assembly New York,ChIJpx9D54NZwokRMyH2wAvb8P8,,
v0264,Bar Revival,ChIJi7he5vpZwokRpyaPR5yZplY,,
v0266,Bar Tizio,ChIJBc8Bim9ZwokR6aNW-GNSOg4,,
v0270,"Bella Union, Rooftop Bar",ChIJhWLyL1FZwokRq5e_w2IWYx0,,
v0274,Birria Catrina,ChIJDZlcKgc1K4gRweSuh9DK_Oc,,
v0280,Breakfast by Salt's Cure,ChIJD5S2xrdZwokR-Co72baJxZ4,,
v0282,Brooklyn Bridge,ChIJ41U-c_ZbwokRnOGug5xZbys,,
v0284,Butter Smashburgers,ChIJu9uJ1-FZwokRjUdfc6E-tJE,,
v0289,Cafe Ambrosia New York,ChIJ2z7wnbNZwokRG2yRG-3vIUs,,
v0298,Casa Morales,ChIJqTWeGgA1K4gRLeo2b0E8a7I,,
v0402,Jacked Up Coffee,ChIJl5hZEAE1K4gRjLaTnJd6SdA,,
v0302,Chapel Bar,ChIJmxygiqZZwokRURJ_xHxXny4,,
v0308,City Papery,ChIJ77IqdYtZwokRAfjd65A2zx0,,
v0309,CKTL & Co.,ChIJ_UAgJRE1K4gRjH61bXK6pF4,,
v0310,Climax Books,ChIJd4XL0MxZwokREJGcQ45IfkE,,
v0312,common hours,ChIJG94_MzhZwokRYIgsVoZNT98,,
v0313,Common Things,ChIJp5j2-tZZwokRJNSvi-5NKtQ,,
v0321,Dana Foley NYC,ChIJqRiIJJ1ZwokRa6nca7ZWoCk,,
v0322,Dante Aperitivo Bar,ChIJ52cTNABZwokRBZD-02jLllw,,
v0323,Daphne,ChIJW9guGM00K4gRQmC01u3UnEI,,
v0325,Dashwood Books,ChIJHwq2RoVZwokR4Tlp8WRfoIE,,
v0326,David Zwirner,ChIJMf7Re8dZwokRJ0Nyj2IixlM,,
v0329,Delta Charlie,ChIJy_1i5lpZwokRAN49cl7ZefI,,
v0337,DUO NYC,ChIJh71RqZ1ZwokRuMt1PftFXEY,,
v0338,Duomo51,ChIJKRPD1K5ZwokRmyDXkfJPfqk,,
v0341,Edith Machinist,ChIJDWRNRoFZwokR5qxQE2jnWg0,,
v0344,El Pacho Coffee Roasters,ChIJEQ4LqpE1K4gRmsdIPXfAXsI,,
v0347,Embriago Coffee,ChIJIW02-Q5ZwokR3lDY6rBN29E,,
v0349,ENDING SOON,ChIJQcyfQIZZwokREEvkPWiRY4A,,
v0355,Fellini Coffee Meatpacking,ChIJKYbKCABZwokRt6RlaEpSEP4,,
v0360,Flamingo Vintage Kensington,ChIJeeicWmA1K4gRd8m10-UKXAM,,
v0365,Furnish Green,ChIJWwpM0KhZwokRL6K8C-UBZFo,,
v0366,George Bang Bang,ChIJ9_y2Cq9ZwokRuq4EQnlD98o,,
v0373,Grandma’s Dumpling House,ChIJo0udSBBbwokRXYNJw3F-tac,,
v0375,Green Kitchen 70th Street,ChIJadxohHRZwokRHvkUBnEH1Kw,,
v0388,Hide Rooftop,ChIJ0QUBXPNbwokRGC3ihVh2NP4,,
v0390,HiLot,ChIJKYLmc0FZwokRlAel5uqrrzk,,
v0392,Honeybrains,ChIJc889gXBbwokRPBVpKft5KG0,,
v0394,Housing Works Bookstore,ChIJSaRjC49ZwokR402Rpxj6i9Q,,
v0396,HOWOO,ChIJKQKwbmZZwokRVxnK_qg8GTE,,
v0409,John Devoy’s Bar & Kitchen,ChIJ8UqoBQBZwokR4_OGLJj9VPo,,
v0411,JuDam NYC,ChIJU-xiHAVZwokR4pE7ckhtfRI,,
v0413,Justine's on Hudson,ChIJ7-tNcahZwokRKSnDrdpnMK4,,
v0415,KABIN,ChIJMb9VKtRZwokROJ6W_ZVM-og,,
v0423,Komune,ChIJgwy7ObNZwokRwSGq5XrLBSE,,
v0424,Korin,ChIJIVUn1h5awokR07P2NK_cufQ,,
v0428,L Train Vintage,ChIJkX7e_p1ZwokROktrmLm2aYc,,
v0435,Laylak Lebanese Cuisine Toronto,ChIJj75GT37L1IkRRuIH0zAHm_A,,
v0449,lost gen vintage,ChIJga1z5es1K4gREtM4-VRqFoY,,
v0450,Lot28,ChIJmYFAe49ZwokROZMJ3kkC2CQ,,
v0454,Luckin Coffee,ChIJM4fINABZwokRZ0qc__CHT3A,,
v0457,Lê Phin,ChIJU_tU6kpZwokR-pX4kn5VSBA,,
v0459,Makari Japanese Antiques and Fine Art,ChIJUTZWv55ZwokRziTRRABhU_w,,
v0464,Marjorie's,ChIJkeU3YJsFdkgRaUnWPaoRyRQ,,
v0465,Maryam Nassir Zadeh,ChIJRcCJo4FZwokRpPaTiah9kiU,,
v0467,Matcha 108,ChIJJxvsEihbwokR1ahhOeBIs0s,,
v0468,McNally Jackson Books SoHo,ChIJwaHnQI9ZwokRvlECeQqpHdg,,
v0470,Milkweed Studios,ChIJ1-gCLABZwokRWwBFGp2LxYY,,
v0479,Mossop's Social House,ChIJ_QegyE7L1IkR7Wqc9Np6Qlc,,
v0480,Moxy NYC Chelsea,ChIJnZ6IScZZwokR6bdW6qeMr24,,
v0484,mộc mạc,ChIJDWMVZqxZwokRx25yDuIAEHA,,
v0495,November 19 Shop,ChIJp7ajTolZwokR-tDyAGQTgbc,,
v0498,Oi bozu,ChIJz03QBPNZwokRmBZxIq0pxJE,,
v0512,Pier 57,ChIJywJ318BZwokR4uWXUTbMRtc,,
v0522,Ray’s,ChIJKavF4jxZwokRph6HhofCKJY,,
v0523,Remedy Place Flatiron,ChIJhXiVU2hZwokRf4Fky0Z472w,,
v0527,Roasting Plant Coffee,ChIJa1pGa4dZwokRmvXVPD1jt_k,,
v0529,Rogue,ChIJxfh7V_BZwokRnmcACQD1unY,,
v0531,Rory's Rooftop,ChIJ8cV4ZrNZwokRmXum9urdUpg,,
v0535,Rosemary Home,ChIJpa9S8ylZwokRyjl0U0i266Y,,
v0541,SAMMARCO,ChIJ0UNUBYHL1IkRjgZDesimYzo,,
v0542,San Cafe,ChIJdZkUXABbwokRI5gSDnwaRM8,,
v0554,Simpl Cafe,ChIJGRt4unE1K4gRFjOGP7WvkqY,,
v0556,Smiley Coffee,ChIJ5e2P9K9ZwokRJyytdm_00Qw,,
v0561,Sorate,ChIJ3dBW9_dZwokR43yOR9TxvXE,,
v0567,Sunday Morning,ChIJpZSQbABZwokROfI_dac-9w8,,
v0569,Sunnys Chinese,ChIJZZpWSbg1K4gRSxIEN9mrN4Q,,
v0574,Sushi W - UWS,ChIJMUUPFIn3wokRwM0zT00XP1c,,
v0576,Sweet Linda,ChIJTSEOrsNZwokR8vHwFFdZla8,,
v0577,Sweet Pickle Books,ChIJ25C95N9bwokRwsG4Ih4ufNU,,
v0580,Tacos 101 and Fruta Libre,ChIJdXTe_YA1K4gR0FTaa2WGM4M,,
v0587,Teruko,ChIJK3dJNuRZwokRHRVRpjwGZ1U,,
v0593,The C Cafe & Wine,ChIJaRpLHABZwokRsp_koypS7DA,,
v0518,Public Arts,ChIJSXK5xg1ZwokRUWFey1ulBVk,,
v0595,The Domino Room,ChIJhdm6vUJZwokRVKrUOfS30rI,,
v0596,The Drama Book Shop,ChIJKwlmsKxZwokRfLTqxrJvDzY,,
v0603,The Marlton Hotel,ChIJuac4MpdZwokRPSTvSd3DmME,,
v0606,The Pastry Box,ChIJg0cFWRJZwokRXydzIHdwLJ0,,
v0611,"The Spa at Mandarin Oriental, New York",ChIJL83lHfZYwokR0G-mK20Avys,,
v0615,THISBOWL,ChIJnyekYIlZwokRVYZ6SndH_Ck,,
v0630,Uncle Vintage,ChIJXb_m60Y0K4gRuBaS9Wt1y34,,
v0633,Urban Catwalk,ChIJD_qo_8I0K4gRWIqpzISlSxo,,
v0635,Urbana Cafe and Gallery,ChIJ63ly5nlZwokR9tEeeucKRnA,,
v0639,Vereda Central Coffee Roasters,ChIJKaV7PAA1K4gR83qzKCEsLDY,,
v0640,Waiting on a Friend,ChIJxUgwtKhZwokRNb3gWsRneSw,,
v0644,Wild Cherry,ChIJs6BQxzZZwokRjAgyOvQHack,,
v0645,William White Emporium,ChIJS5Kob3FZwokRVbfOo2Gp5QM,,
v0648,yakuni,ChIJN0u8egBZwokRCM2XbebokuQ,,
v0649,Yamada,ChIJSdFphJdbwokRG3R5uMCxFt4,,
v0651,Yoon Haeundae Galbi,ChIJPw03jalZwokRmsrs0PAc1bo,,
v0655,Remi43 Flower & Coffee,ChIJN46bC-5ZwokR1rFV0BOS4BY,,
v0657,AIRE Ancient Baths New York · Upper East Side,ChIJ5StDm9JZwokRzcYuBMHP3iU,,
v0959,143 Social,ChIJ3QGBQHNRwokREp2WgOkWtuE,,
v0963,Coba Pizzeria,ChIJpRN4BABfwokRaFoz3jQ5zhc,,
v0964,GanBlaze,ChIJP8DBhlFhwokRNYw10D3xX8w,,
v0966,Lichen,ChIJp364gdtbwokRBjosnaBoGpc,,
v0967,Little Flower Cafe,ChIJs_GSrAxfwokRrXbHbDCmc5w,,
v0968,MOGMOG,ChIJP196UmFZwokR9HJCzWGczA4,,
v0970,PYO Chai,ChIJVWoFRWxfwokRX4ycCvKjGQs,,
v0971,Record Room,ChIJs9zFrSlZwokRaqr9sgbQ-7Y,,
v0972,Salty Lunch Lady's Little Luncheonette,ChIJd1wnL-dfwokRlYBRhDQwS80,,
v0974,Topos Bookstore Cafe,ChIJqz4FeCdcwokRgOU9y9R1Pow,,
v0560,Sora,ChIJRbloiWVZwokRIMGMhdMxwX0,,
v0011,Tigre,ChIJG4KsHWhZwokRy8XeIPr63_8,,
v0013,12 Matcha,ChIJYQM4uYJZwokRtU7IAZdSHZ0,,
v0015,Book Club Bar,ChIJwxHj5iBZwokR_pY9e5OhHNs,,
v0027,Café Lyria,ChIJcVcDbvVZwokRH9wq92JCQBo,,
v0031,Dialogue Coffee & Flowers,ChIJj1_yRahZwokRr6Ktp4IQ4Ew,,
v0051,Sip&Guzzle,ChIJ49KsB19ZwokR8VwrMbECQr8,,
v0067,Jean's,ChIJS9OS9sNZwokRx5r2iXYAk5E,,
v0091,Café Colmado,ChIJxes_BwBZwokRMzXp44W-WiQ,,
v0099,le gaz,ChIJvf6-ozRbwokRY7ybb9WlMLY,,
v0101,Manjul Coffee & Clothing,ChIJy5JIfwBZwokRax0td9_LgoA,,
v0112,Shy Shy,ChIJcfTvcRNZwokRQ3UeKNhGZt4,,
v0116,The Commerce Inn,ChIJ-SBoguRZwokRmTRHDYXw0EI,,
v0120,🧳 Paper Coffee,ChIJA5V7V69ZwokRNI_y14Yvu-w,,
v0121,313 VINTAGE,ChIJb2ydCQBZwokRGYICSUOmTqA,,
v0124,Arcane Estate Coffee,ChIJ-ZM95ipZwokRSpLxKOPMcvQ,,
v0133,Bar Kabawa,ChIJZy5-auNZwokRiindmTlEhpU,,
v0200,People’s,ChIJ0dd2agBZwokRCHdowOdremA,,
v0136,Below Stone Nest,ChIJ1aCwgtIEdkgR1AH7IgmKPGg,,
v0138,Birds,ChIJY14h-qVZwokRIXW9BIh5dBk,,
v0145,Bánh by Lauren,ChIJWdM0kLNbwokR1n6Qzn5c-IU,,
v0152,colbo,ChIJwd2Zq1JbwokRiwtZg82k2G8,,
v0156,Daintree,ChIJmVHFI3lZwokRwUUBEStdzF4,,
v0158,Do Not Disturb,ChIJ1fOC0E1ZwokRaawG2IpqBjk,,
v0161,East Village Books,ChIJdb3TbJ1ZwokRpN6S2dLmbyM,,
v0232,11:59 Bar:Café,ChIJ-7onLR01K4gRvTqT2wkjnCg,,
v0164,Elsie Rooftop & Penthouse,ChIJ0Q7xqoBZwokRkrPoL2Es1X0,,
v0166,ENLY,ChIJc0EmQ5tZwokReaQVdBEl2Ro,,
v0168,Fa San,ChIJdZkUXABbwokRI5gSDnwaRM8,,
v0172,Gem Home,ChIJJ_rCLwBZwokR_QgXjl5I8t0,,
v0176,Interlude Coffee & Tea,ChIJjQbSVABbwokRGSoyG_UuKg4,,
v0183,La Bomboniera,ChIJ6-o-bf9ZwokROEwgULEnMQE,,
v0186,L’industrie Pizzeria West Village,ChIJ92OsaJVZwokRsC54kf-J-3g,,
